HomeTeam_AwayTeam_Match_ID,Date,HomeTeamWinOdd,HomeTeamDrawOdd,HomeTeamLoseOdd,BtsYes,BtsNo,Over_05,Over_15,Over_25,Over_35,Over_45,Under_05,Under_15,Under_25,Under_35,Under_45,HandiCap_min2_W,HandiCap_min1_W,HandiCap_plus1_W,HandiCap_plus2_W,HandiCap_min2_D,HandiCap_min1_D,HandiCap_plus1_D,HandiCap_plus2_D,HandiCap_min2_L,HandiCap_min1_L,HandiCap_plus1_L,HandiCap_plus2_L
germany-scotland-Q9YPy46c,14 Jun 2024,1.30,5.70,10.06,2.07,1.73,1.02,1.20,1.63,2.56,4.53,15.50,4.56,2.27,1.51,1.20,3.05,1.83,1.07,1.01,4.10,3.90,10.35,22.00,1.94,3.55,28.00,87.50
hungary-switzerland-KWXTzOL3,15 Jun 2024,3.77,3.16,2.17,2.13,1.69,1.10,1.49,2.52,4.89,10.26,7.10,2.61,1.53,1.18,1.05,29.25,9.23,1.67,1.21,10.70,5.10,3.80,6.40,1.07,1.28,4.45,11.25
spain-croatia-QXGCSaTq,15 Jun 2024,1.91,3.51,4.31,1.93,1.84,1.07,1.35,2.09,3.70,7.42,9.02,3.21,1.75,1.27,1.09,7.65,3.45,1.23,1.05,5.50,3.75,5.80,12.00,1.31,1.90,10.90,33.00
italy-albania-8d6HRJrj,15 Jun 2024,1.38,4.76,9.68,2.43,1.54,1.06,1.33,2.00,3.48,6.88,9.90,3.34,1.81,1.31,1.11,3.95,2.12,1.07,1.01,4.18,3.55,9.70,23.00,1.69,2.97,29.50,115.00
poland-netherlands-vwtfSsT6,16 Jun 2024,6.45,4.28,1.54,2.00,1.78,1.05,1.28,1.88,3.18,5.97,11.00,3.68,1.93,1.36,1.13,53.50,17.00,2.43,1.52,16.00,7.58,3.65,4.60,1.02,1.13,2.49,4.85
slovenia-denmark-rZpKouzM,16 Jun 2024,5.79,3.55,1.70,2.20,1.64,1.09,1.42,2.28,4.24,8.50,8.03,2.87,1.63,1.23,1.07,54.00,16.75,2.17,1.40,15.00,6.85,3.50,4.85,1.02,1.15,2.92,6.30
serbia-england-lCoGnLKF,16 Jun 2024,6.42,4.32,1.51,1.94,1.83,1.04,1.26,1.81,3.00,5.65,12.63,3.91,2.00,1.40,1.14,52.00,17.25,2.53,1.56,16.00,7.70,3.70,4.53,1.02,1.13,2.39,4.53
romania-ukraine-GMyM2U3Q,17 Jun 2024,4.61,3.52,1.86,1.94,1.83,1.07,1.35,2.09,3.71,7.40,9.00,3.21,1.75,1.28,1.09,33.75,11.50,1.92,1.32,12.00,5.90,3.73,5.45,1.05,1.22,3.35,7.35
belgium-slovakia-dxBg0vkF,17 Jun 2024,1.50,4.47,6.58,1.92,1.86,1.04,1.24,1.75,2.87,5.22,13.38,4.11,2.07,1.42,1.17,4.25,2.27,1.12,1.02,4.45,3.70,7.88,16.25,1.60,2.64,17.75,53.00
austria-france-n7T2wHs2,17 Jun 2024,5.80,4.31,1.57,1.90,1.87,1.04,1.26,1.80,2.99,5.59,13.13,3.89,2.01,1.40,1.15,44.50,14.75,2.41,1.51,14.75,7.10,3.68,4.68,1.03,1.15,2.54,4.88
turkey-georgia-GUFZKHkT,18 Jun 2024,1.65,3.95,5.45,1.94,1.83,1.04,1.31,1.92,3.28,6.40,10.86,3.49,1.88,1.34,1.12,5.50,2.74,1.17,1.03,4.83,3.68,6.75,13.75,1.44,2.24,14.00,43.00
portugal-czech-republic-fDjUgxSr,18 Jun 2024,1.50,4.45,6.58,1.94,1.83,1.04,1.25,1.78,2.92,5.36,13.13,3.99,2.04,1.41,1.16,4.25,2.29,1.12,1.02,4.45,3.73,7.95,16.75,1.60,2.62,18.25,55.50
croatia-albania-nm5LQwbd,19 Jun 2024,1.47,4.41,7.41,2.17,1.67,1.05,1.30,1.93,3.34,6.60,10.70,3.54,1.88,1.33,1.11,4.22,2.24,1.10,1.01,4.28,3.58,8.45,18.25,1.63,2.80,22.75,74.50
germany-hungary-GbRxZ1jG,19 Jun 2024,1.28,6.00,10.80,2.00,1.79,1.02,1.17,1.53,2.30,3.97,17.88,5.23,2.51,1.62,1.25,2.78,1.73,1.06,1.00,4.10,4.07,11.15,23.25,2.09,3.80,29.00,87.50
scotland-switzerland-bNWXZsyA,19 Jun 2024,4.44,3.57,1.85,1.97,1.81,1.07,1.36,2.11,3.78,7.59,9.01,3.16,1.74,1.27,1.09,35.00,11.50,1.97,1.33,12.00,5.85,3.63,5.35,1.05,1.22,3.33,7.25
slovenia-serbia-2JRjtJcq,20 Jun 2024,4.63,3.44,1.85,1.89,1.88,1.07,1.32,2.01,3.44,6.84,9.50,3.40,1.80,1.32,1.11,34.75,11.75,1.95,1.34,12.50,6.20,3.80,5.35,1.04,1.21,3.23,6.85
denmark-england-MPqOpakS,20 Jun 2024,5.64,3.61,1.68,2.11,1.69,1.08,1.38,2.18,3.96,8.05,8.60,3.04,1.69,1.25,1.08,52.50,16.25,2.19,1.40,14.75,6.93,3.53,4.88,1.02,1.15,2.88,6.05
spain-italy-Egg3kNzc,20 Jun 2024,2.13,3.25,3.67,1.91,1.85,1.08,1.38,2.18,3.89,7.86,8.62,3.06,1.69,1.26,1.08,9.60,4.08,1.29,1.07,6.15,3.88,5.23,10.20,1.23,1.73,8.75,26.00
slovakia-ukraine-hrTmblCs,21 Jun 2024,3.63,3.27,2.13,1.89,1.86,1.07,1.36,2.12,3.73,7.54,8.62,3.11,1.71,1.27,1.08,24.75,8.68,1.72,1.23,9.85,5.10,3.83,5.95,1.07,1.28,3.95,9.32
poland-austria-YaubR1rD,21 Jun 2024,3.89,3.48,2.00,1.76,2.02,1.05,1.28,1.89,3.18,6.08,10.46,3.63,1.90,1.35,1.12,25.00,9.00,1.81,1.28,10.30,5.45,3.85,5.60,1.06,1.26,3.50,7.55
netherlands-france-lC7o20K2,21 Jun 2024,3.19,3.36,2.28,1.78,1.99,1.06,1.32,1.98,3.41,6.68,9.68,3.36,1.82,1.31,1.10,18.50,6.88,1.63,1.20,8.75,4.82,4.03,6.45,1.10,1.35,4.38,10.25
georgia-czech-republic-MBh2Gybp,22 Jun 2024,4.92,3.78,1.72,1.86,1.90,1.05,1.28,1.89,3.19,6.08,10.96,3.61,1.90,1.35,1.12,36.00,12.50,2.12,1.40,12.50,6.35,3.65,4.93,1.03,1.19,2.85,5.83
turkey-portugal-lzjYhdsk,22 Jun 2024,5.48,4.36,1.57,1.80,1.96,1.03,1.22,1.70,2.77,4.92,14.00,4.20,2.13,1.44,1.17,39.50,13.75,2.40,1.52,13.25,6.90,3.68,4.55,1.03,1.15,2.44,4.63
belgium-romania-zT9cab4L,22 Jun 2024,1.48,4.46,6.67,1.91,1.84,1.03,1.23,1.74,2.81,5.11,13.50,4.06,2.09,1.43,1.16,4.13,2.25,1.12,1.02,4.35,3.65,7.80,15.75,1.62,2.64,17.75,53.00
scotland-hungary-lCPpXuLS,23 Jun 2024,2.84,3.52,2.41,1.71,2.08,1.05,1.28,1.88,3.19,6.08,11.10,3.61,1.90,1.35,1.12,15.25,5.83,1.56,1.17,7.90,4.55,4.15,6.80,1.13,1.42,4.65,11.25
switzerland-germany-fkQtYL5M,23 Jun 2024,4.86,4.12,1.67,1.79,1.97,1.04,1.25,1.79,2.98,5.55,13.13,3.87,2.00,1.39,1.14,34.50,12.00,2.21,1.42,12.50,6.35,3.65,4.80,1.04,1.19,2.74,5.45
albania-spain-hph7lsj3,24 Jun 2024,11.60,5.75,1.27,2.33,1.56,1.03,1.23,1.72,2.80,5.00,13.63,4.06,2.10,1.42,1.16,120.00,33.00,3.80,2.00,24.00,10.90,3.75,3.88,1.00,1.05,1.77,2.94
croatia-italy-z9sCm159,24 Jun 2024,3.19,3.28,2.30,1.82,1.93,1.07,1.34,2.07,3.62,7.12,8.99,3.17,1.74,1.27,1.09,20.00,7.05,1.62,1.19,8.93,4.78,3.97,6.45,1.09,1.35,4.45,10.75
france-poland-Cjv2QLcJ,25 Jun 2024,1.42,4.77,7.57,1.96,1.79,1.03,1.23,1.73,2.82,5.10,13.50,4.08,2.10,1.43,1.17,3.80,2.12,1.10,1.01,4.25,3.68,8.30,16.75,1.68,2.84,20.00,59.50
netherlands-austria-S26k1KZ8,25 Jun 2024,2.10,3.51,3.41,1.65,2.16,1.03,1.25,1.78,2.93,5.47,12.50,3.89,2.00,1.40,1.14,8.23,3.78,1.32,1.09,6.00,4.05,5.15,9.28,1.25,1.72,7.25,19.25
denmark-serbia-zXPbvcSe,25 Jun 2024,2.52,3.30,2.83,1.75,2.01,1.06,1.32,1.98,3.40,6.70,9.76,3.35,1.80,1.31,1.10,12.25,4.95,1.42,1.12,7.00,4.25,4.55,8.03,1.17,1.52,5.95,15.50
england-slovenia-tAQfuwDk,25 Jun 2024,1.29,5.54,10.42,2.22,1.61,1.03,1.23,1.73,2.82,5.06,13.50,4.03,2.09,1.42,1.16,3.15,1.85,1.06,1.00,3.95,3.68,9.85,21.50,1.90,3.47,28.75,97.50
slovakia-romania-Iia2bIJR,26 Jun 2024,2.73,2.95,2.85,1.91,1.82,1.08,1.41,2.27,4.19,8.34,7.58,2.82,1.60,1.22,1.06,15.25,5.65,1.42,1.12,7.48,4.22,4.32,7.80,1.13,1.45,6.00,16.25
ukraine-belgium-z7Ihc8Rm,26 Jun 2024,4.49,3.86,1.74,1.76,1.98,1.03,1.25,1.81,2.98,5.57,12.38,3.79,1.96,1.38,1.13,30.00,10.75,2.05,1.38,11.50,6.00,3.68,5.00,1.04,1.20,2.90,5.83
czech-republic-turkey-SQlxhGde,26 Jun 2024,3.12,3.32,2.29,1.76,1.99,1.06,1.31,1.96,3.37,6.62,9.76,3.33,1.80,1.30,1.10,18.00,6.65,1.60,1.19,8.50,4.75,4.03,6.40,1.10,1.36,4.35,10.25
georgia-portugal-02i6FeDj,26 Jun 2024,11.40,6.28,1.24,1.99,1.75,1.02,1.14,1.49,2.21,3.68,18.88,5.24,2.56,1.63,1.26,85.50,27.00,3.80,2.11,21.00,10.45,4.05,4.05,1.00,1.05,1.67,2.63
