HomeTeam_AwayTeam_Match_ID,Date,HomeTeamWinOdd,HomeTeamDrawOdd,HomeTeamLoseOdd,BtsYes,BtsNo,Over_05,Over_15,Over_25,Over_35,Over_45,Under_05,Under_15,Under_25,Under_35,Under_45,HandiCap_min2_W,HandiCap_min1_W,HandiCap_plus1_W,HandiCap_plus2_W,HandiCap_min2_D,HandiCap_min1_D,HandiCap_plus1_D,HandiCap_plus2_D,HandiCap_min2_L,HandiCap_min1_L,HandiCap_plus1_L,HandiCap_plus2_L
turkey-portugal-lzjYhdsk,22 Jun 2024,5.25,4.18,1.58,1.77,1.97,1.03,1.23,1.72,2.78,5.00,13.50,4.01,2.07,1.42,1.16,39.00,13.25,2.32,1.49,14.00,6.95,3.75,4.78,1.03,1.15,2.50,4.85
belgium-romania-zT9cab4L,22 Jun 2024,1.48,4.40,6.48,1.95,1.79,1.04,1.25,1.78,2.93,5.41,12.38,3.82,1.99,1.39,1.14,4.28,2.26,1.12,1.02,4.43,3.70,7.85,16.25,1.59,2.59,17.50,54.00
scotland-hungary-lCPpXuLS,23 Jun 2024,2.78,3.53,2.41,1.70,2.06,1.05,1.28,1.89,3.18,5.95,10.80,3.53,1.88,1.33,1.12,15.00,5.70,1.55,1.17,8.00,4.63,4.22,7.00,1.13,1.42,4.65,11.75
switzerland-germany-fkQtYL5M,23 Jun 2024,4.65,3.91,1.70,1.85,1.87,1.04,1.28,1.87,3.17,6.08,10.80,3.54,1.89,1.34,1.12,35.25,11.75,2.11,1.39,12.50,6.30,3.70,4.97,1.04,1.19,2.85,5.95
albania-spain-hph7lsj3,24 Jun 2024,10.70,5.47,1.28,2.24,1.59,1.03,1.23,1.72,2.79,5.02,13.50,4.01,2.08,1.42,1.16,55.00,29.25,3.50,1.92,12.00,10.50,3.83,4.03,1.00,1.06,1.81,3.10
croatia-italy-z9sCm159,24 Jun 2024,3.39,3.41,2.12,1.78,1.96,1.06,1.31,1.98,3.41,6.66,9.76,3.31,1.79,1.30,1.10,21.75,7.43,1.68,1.23,9.55,5.10,4.00,6.20,1.08,1.31,3.93,9.45
france-poland-Cjv2QLcJ,25 Jun 2024,1.34,5.15,8.64,1.98,1.75,1.03,1.20,1.66,2.64,4.74,14.63,4.33,2.19,1.47,1.18,3.35,1.92,1.08,1.01,4.18,3.83,9.35,19.50,1.81,3.15,22.50,72.00
netherlands-austria-S26k1KZ8,25 Jun 2024,2.03,3.63,3.43,1.65,2.13,1.04,1.25,1.77,2.91,5.31,12.13,3.82,2.01,1.39,1.14,8.05,3.60,1.30,1.08,5.90,4.03,5.35,9.90,1.27,1.76,7.68,20.75
denmark-serbia-zXPbvcSe,25 Jun 2024,2.33,3.34,3.02,1.75,1.99,1.06,1.31,1.96,3.38,6.54,9.76,3.32,1.81,1.30,1.10,11.25,4.53,1.37,1.10,6.75,4.18,4.78,8.65,1.19,1.58,6.38,18.00
england-slovenia-tAQfuwDk,25 Jun 2024,1.32,5.12,9.52,2.19,1.62,1.03,1.24,1.76,2.88,5.34,12.75,3.91,2.03,1.40,1.15,3.38,1.90,1.07,1.00,4.05,3.70,9.80,22.00,1.82,3.30,27.25,100.00
slovakia-romania-Iia2bIJR,26 Jun 2024,2.57,3.12,2.85,1.85,1.88,1.07,1.37,2.17,3.89,7.76,8.23,2.96,1.66,1.24,1.07,14.25,5.28,1.40,1.11,7.45,4.30,4.55,8.25,1.14,1.48,6.10,17.50
ukraine-belgium-z7Ihc8Rm,26 Jun 2024,4.01,3.70,1.86,1.77,1.97,1.04,1.28,1.87,3.16,6.08,10.80,3.54,1.89,1.34,1.12,27.75,9.45,1.90,1.32,10.95,5.70,3.83,5.45,1.05,1.23,3.25,7.00
czech-republic-turkey-SQlxhGde,26 Jun 2024,2.83,3.31,2.47,1.67,2.10,1.05,1.28,1.89,3.15,5.95,10.66,3.57,1.87,1.34,1.12,15.00,5.70,1.52,1.17,8.05,4.68,4.40,7.20,1.13,1.42,4.82,12.25
georgia-portugal-02i6FeDj,26 Jun 2024,9.75,5.81,1.28,2.07,1.70,1.02,1.19,1.61,2.52,4.47,15.88,4.50,2.26,1.50,1.19,46.00,25.25,3.47,1.94,12.00,10.15,3.93,4.13,1.01,1.07,1.80,3.05
