HomeTeam_AwayTeam_Match_ID,Date,HomeTeamWinOdd,HomeTeamDrawOdd,HomeTeamLoseOdd,BtsYes,BtsNo,Over_05,Over_15,Over_25,Over_35,Over_45,Under_05,Under_15,Under_25,Under_35,Under_45,HandiCap_min2_W,HandiCap_min1_W,HandiCap_plus1_W,HandiCap_plus2_W,HandiCap_min2_D,HandiCap_min1_D,HandiCap_plus1_D,HandiCap_plus2_D,HandiCap_min2_L,HandiCap_min1_L,HandiCap_plus1_L,HandiCap_plus2_L
germany-scotland-Q9YPy46c,14 Jun 2024,1.30,5.70,10.06,2.07,1.73,1.02,1.20,1.63,2.56,4.53,15.50,4.56,2.27,1.51,1.20,3.05,1.83,1.07,1.01,4.10,3.90,10.35,22.00,1.94,3.55,28.00,87.50
hungary-switzerland-KWXTzOL3,15 Jun 2024,3.77,3.16,2.17,2.13,1.69,1.10,1.49,2.52,4.89,10.26,7.10,2.61,1.53,1.18,1.05,29.25,9.23,1.67,1.21,10.70,5.10,3.80,6.40,1.07,1.28,4.45,11.25
spain-croatia-QXGCSaTq,15 Jun 2024,1.91,3.51,4.31,1.93,1.84,1.07,1.35,2.09,3.70,7.42,9.02,3.21,1.75,1.27,1.09,7.65,3.45,1.23,1.05,5.50,3.75,5.80,12.00,1.31,1.90,10.90,33.00
italy-albania-8d6HRJrj,15 Jun 2024,1.38,4.76,9.68,2.43,1.54,1.06,1.33,2.00,3.48,6.88,9.90,3.34,1.81,1.31,1.11,3.95,2.12,1.07,1.01,4.18,3.55,9.70,23.00,1.69,2.97,29.50,115.00
poland-netherlands-vwtfSsT6,16 Jun 2024,6.45,4.28,1.54,2.00,1.78,1.05,1.28,1.88,3.18,5.97,11.00,3.68,1.93,1.36,1.13,53.50,17.00,2.43,1.52,16.00,7.58,3.65,4.60,1.02,1.13,2.49,4.85
slovenia-denmark-rZpKouzM,16 Jun 2024,5.79,3.55,1.70,2.20,1.64,1.09,1.42,2.28,4.24,8.50,8.03,2.87,1.63,1.23,1.07,54.00,16.75,2.17,1.40,15.00,6.85,3.50,4.85,1.02,1.15,2.92,6.30
serbia-england-lCoGnLKF,16 Jun 2024,6.42,4.32,1.51,1.94,1.83,1.04,1.26,1.81,3.00,5.65,12.63,3.91,2.00,1.40,1.14,52.00,17.25,2.53,1.56,16.00,7.70,3.70,4.53,1.02,1.13,2.39,4.53
romania-ukraine-GMyM2U3Q,17 Jun 2024,4.61,3.52,1.86,1.94,1.83,1.07,1.35,2.09,3.71,7.40,9.00,3.21,1.75,1.28,1.09,33.75,11.50,1.92,1.32,12.00,5.90,3.73,5.45,1.05,1.22,3.35,7.35
belgium-slovakia-dxBg0vkF,17 Jun 2024,1.50,4.47,6.58,1.92,1.86,1.04,1.24,1.75,2.87,5.22,13.38,4.11,2.07,1.42,1.17,4.25,2.27,1.12,1.02,4.45,3.70,7.88,16.25,1.60,2.64,17.75,53.00
austria-france-n7T2wHs2,17 Jun 2024,5.80,4.31,1.57,1.90,1.87,1.04,1.26,1.80,2.99,5.59,13.13,3.89,2.01,1.40,1.15,44.50,14.75,2.41,1.51,14.75,7.10,3.68,4.68,1.03,1.15,2.54,4.88
turkey-georgia-GUFZKHkT,18 Jun 2024,1.65,3.95,5.45,1.94,1.83,1.04,1.31,1.92,3.28,6.40,10.86,3.49,1.88,1.34,1.12,5.50,2.74,1.17,1.03,4.83,3.68,6.75,13.75,1.44,2.24,14.00,43.00
portugal-czech-republic-fDjUgxSr,18 Jun 2024,1.50,4.45,6.58,1.94,1.83,1.04,1.25,1.78,2.92,5.36,13.13,3.99,2.04,1.41,1.16,4.25,2.29,1.12,1.02,4.45,3.73,7.95,16.75,1.60,2.62,18.25,55.50
croatia-albania-nm5LQwbd,19 Jun 2024,1.46,4.41,7.75,2.33,1.58,1.06,1.35,2.07,3.70,7.25,9.62,3.18,1.76,1.28,1.09,4.47,2.30,1.10,1.01,4.25,3.48,8.35,18.75,1.60,2.78,23.25,77.50
germany-hungary-GbRxZ1jG,19 Jun 2024,1.28,6.20,10.76,1.93,1.84,1.02,1.15,1.48,2.20,3.64,19.00,5.47,2.67,1.67,1.28,2.70,1.70,1.06,1.00,4.18,4.20,11.15,23.25,2.11,3.83,28.00,87.50
scotland-switzerland-bNWXZsyA,19 Jun 2024,4.36,3.33,1.93,2.05,1.75,1.09,1.41,2.27,4.21,8.42,8.14,2.90,1.64,1.23,1.07,36.50,11.75,1.89,1.29,12.25,5.75,3.63,5.55,1.05,1.22,3.58,8.15
slovenia-serbia-2JRjtJcq,20 Jun 2024,5.11,3.75,1.73,1.85,1.93,1.05,1.28,1.89,3.17,5.95,10.86,3.67,1.92,1.36,1.13,39.50,13.50,2.15,1.42,13.50,6.70,3.75,4.97,1.03,1.17,2.83,5.73
denmark-england-MPqOpakS,20 Jun 2024,5.63,3.58,1.71,2.11,1.68,1.07,1.38,2.18,3.90,7.80,8.48,2.94,1.65,1.24,1.07,53.00,16.50,2.17,1.40,14.75,6.80,3.50,4.85,1.02,1.15,2.91,6.18
spain-italy-Egg3kNzc,20 Jun 2024,2.25,3.07,3.67,1.90,1.88,1.08,1.38,2.21,3.91,7.96,8.21,3.03,1.67,1.26,1.08,10.50,4.33,1.29,1.08,6.48,4.05,5.25,10.20,1.21,1.65,8.50,24.75
slovakia-ukraine-hrTmblCs,21 Jun 2024,3.25,3.28,2.32,1.87,1.90,1.07,1.36,2.13,3.79,7.82,8.84,3.16,1.72,1.27,1.08,20.75,7.33,1.62,1.19,9.18,4.82,4.00,6.70,1.09,1.36,4.60,11.25
poland-austria-YaubR1rD,21 Jun 2024,3.94,3.35,2.05,1.83,1.94,1.07,1.33,2.04,3.56,7.20,9.24,3.31,1.78,1.30,1.10,29.25,9.95,1.80,1.27,11.15,5.63,3.85,5.80,1.06,1.25,3.70,8.35
netherlands-france-lC7o20K2,21 Jun 2024,3.10,3.13,2.49,1.79,1.98,1.07,1.35,2.09,3.65,7.38,8.84,3.23,1.75,1.29,1.10,19.25,6.93,1.57,1.18,9.10,4.90,4.22,7.00,1.10,1.37,4.83,11.75
georgia-czech-republic-MBh2Gybp,22 Jun 2024,4.44,3.84,1.80,1.70,2.11,1.04,1.23,1.75,2.83,5.20,12.40,4.16,2.09,1.43,1.16,28.25,10.50,2.01,1.38,11.75,6.13,3.93,5.25,1.06,1.23,3.01,6.08
turkey-portugal-lzjYhdsk,22 Jun 2024,5.52,4.25,1.60,1.72,2.07,1.03,1.21,1.66,2.65,4.81,13.75,4.46,2.21,1.48,1.19,37.00,13.25,2.33,1.52,13.75,7.13,3.90,4.80,1.04,1.17,2.51,4.75
belgium-romania-zT9cab4L,22 Jun 2024,1.39,5.01,8.16,1.99,1.80,1.03,1.22,1.69,2.69,4.86,14.25,4.34,2.18,1.47,1.18,3.60,2.04,1.09,1.01,4.25,3.78,9.00,18.50,1.76,3.03,22.00,66.50
scotland-hungary-lCPpXuLS,23 Jun 2024,2.39,3.95,2.66,1.58,2.33,1.03,1.22,1.68,2.70,4.87,14.75,4.31,2.19,1.46,1.18,10.50,4.50,1.48,1.15,6.93,4.35,4.60,7.65,1.19,1.59,5.33,12.75
switzerland-germany-fkQtYL5M,23 Jun 2024,5.97,3.93,1.59,1.92,1.85,1.05,1.28,1.88,3.15,6.01,11.00,3.71,1.92,1.36,1.13,54.00,17.25,2.37,1.51,16.00,7.65,3.72,4.68,1.02,1.13,2.54,4.88
albania-spain-hph7lsj3,24 Jun 2024,6.88,4.54,1.49,2.05,1.75,1.05,1.28,1.88,3.19,5.99,11.63,3.67,1.94,1.36,1.13,62.00,19.25,2.70,1.60,16.75,7.95,3.60,4.38,1.02,1.12,2.29,4.38
croatia-italy-z9sCm159,24 Jun 2024,3.20,3.10,2.46,1.89,1.89,1.08,1.39,2.21,4.02,8.32,8.30,3.03,1.67,1.25,1.08,20.50,7.23,1.57,1.17,9.07,4.83,4.15,6.98,1.10,1.36,4.88,12.50
france-poland-Cjv2QLcJ,25 Jun 2024,1.31,5.73,9.86,2.05,1.74,1.02,1.20,1.62,2.54,4.50,15.63,4.65,2.29,1.52,1.21,3.03,1.82,1.07,1.01,4.10,3.90,10.35,22.00,1.95,3.58,27.75,87.50
netherlands-austria-S26k1KZ8,25 Jun 2024,2.21,3.16,3.70,1.69,2.13,1.06,1.28,1.90,3.16,6.12,10.08,3.69,1.90,1.36,1.13,8.90,3.98,1.29,1.08,6.30,4.20,5.58,10.35,1.24,1.69,8.25,22.50
denmark-serbia-zXPbvcSe,25 Jun 2024,2.26,3.53,3.16,1.64,2.20,1.04,1.25,1.80,2.95,5.51,12.63,3.97,2.02,1.40,1.15,9.40,4.15,1.36,1.11,6.40,4.15,5.00,8.98,1.23,1.67,6.70,17.50
england-slovenia-tAQfuwDk,25 Jun 2024,1.36,4.96,9.62,2.36,1.57,1.05,1.29,1.90,3.26,6.36,10.90,3.60,1.90,1.34,1.12,3.63,2.00,1.07,1.00,4.03,3.60,9.90,22.50,1.78,3.25,30.00,105.00
slovakia-romania-Iia2bIJR,26 Jun 2024,3.28,2.11,3.74,1.99,1.78,1.18,1.55,2.97,5.23,11.75,4.86,2.39,1.38,1.15,1.03,19.25,6.95,1.28,1.07,8.75,4.88,5.23,9.85,1.10,1.35,8.32,24.25
ukraine-belgium-z7Ihc8Rm,26 Jun 2024,4.93,4.16,1.66,1.74,2.04,1.04,1.22,1.72,2.79,5.00,13.38,4.17,2.11,1.43,1.17,34.25,12.00,2.22,1.46,12.75,6.53,3.73,4.78,1.04,1.17,2.63,5.10
czech-republic-turkey-SQlxhGde,26 Jun 2024,2.53,3.39,2.79,1.59,2.29,1.04,1.23,1.74,2.80,5.06,12.75,4.16,2.07,1.43,1.16,11.00,4.72,1.44,1.14,7.05,4.45,4.70,7.75,1.17,1.52,5.45,13.25
georgia-portugal-02i6FeDj,26 Jun 2024,7.26,5.08,1.40,1.80,1.97,1.02,1.18,1.57,2.40,4.19,16.00,4.85,2.39,1.56,1.22,52.50,18.25,2.94,1.75,16.50,8.48,3.83,4.25,1.01,1.10,2.01,3.45
