HomeTeam_AwayTeam_Match_ID,Date,HomeTeamWinOdd,HomeTeamDrawOdd,HomeTeamLoseOdd,BtsYes,BtsNo,Over_05,Over_15,Over_25,Over_35,Over_45,Under_05,Under_15,Under_25,Under_35,Under_45,HandiCap_min2_W,HandiCap_min1_W,HandiCap_plus1_W,HandiCap_plus2_W,HandiCap_min2_D,HandiCap_min1_D,HandiCap_plus1_D,HandiCap_plus2_D,HandiCap_min2_L,HandiCap_min1_L,HandiCap_plus1_L,HandiCap_plus2_L
namibia-ivory-coast-xlM0AHwR,01 Jul 2019,12.50,4.59,1.31,3.30,1.30,1.09,1.45,2.43,4.57,9.56,7.33,2.66,1.55,1.18,1.05,,41.00,3.41,1.66,,12.00,3.09,3.78,,1.04,2.02,3.87
south-africa-morocco-OpIdBcOK,01 Jul 2019,4.62,2.40,2.35,2.64,1.45,1.21,1.84,3.61,7.46,16.81,4.13,1.93,1.27,1.08,1.01,44.47,13.53,1.56,1.12,12.79,5.30,3.53,6.59,1.02,1.16,5.20,14.48
uganda-egypt-CCilpLPL,30 Jun 2019,7.72,3.39,1.58,2.84,1.41,1.13,1.61,2.79,5.65,12.27,5.70,2.29,1.41,1.13,1.03,-,24.44,2.34,1.36,-,7.44,3.08,4.39,-,1.08,2.79,6.11
zimbabwe-dr-congo-QFehquuS,30 Jun 2019,3.11,3.36,2.27,1.84,1.90,1.07,1.35,2.08,3.71,7.43,8.45,3.11,1.73,1.26,1.08,15.91,6.61,1.59,1.16,7.91,4.55,3.83,6.17,1.08,1.33,4.37,10.15
burundi-guinea-8fkBa0P8,30 Jun 2019,5.34,3.49,1.71,2.02,1.74,1.07,1.35,2.12,3.82,7.55,8.14,3.13,1.71,1.24,1.08,46.00,12.80,2.10,1.32,17.00,6.08,3.44,4.81,1.02,1.14,2.96,6.23
madagascar-nigeria-fio70tA2,30 Jun 2019,6.62,2.76,1.82,2.62,1.46,1.16,1.64,2.97,5.94,12.91,5.02,2.23,1.38,1.12,1.03,-,20.30,1.88,1.24,-,6.65,3.24,5.21,-,1.10,3.55,8.43
benin-guinea-bissau-jaf868xg,29 Jun 2019,1.63,3.59,6.00,2.29,1.59,1.08,1.45,2.39,4.50,9.31,7.08,2.66,1.57,1.18,1.05,6.26,2.87,1.12,1.01,4.61,3.24,6.54,7.90,1.34,2.20,16.02,30.45
cameroon-ghana-C8e47lNn,29 Jun 2019,3.12,2.90,2.56,2.34,1.56,1.13,1.60,2.94,5.75,12.32,5.53,2.27,1.39,1.12,1.03,19.35,7.32,1.49,1.10,8.38,4.27,3.79,7.04,1.07,1.32,5.66,14.77
mauritania-angola-8xdu3ZV0,29 Jun 2019,4.56,3.05,1.96,2.32,1.57,1.12,1.57,2.73,5.35,11.17,5.90,2.37,1.43,1.13,1.03,41.00,12.08,1.77,1.19,15.00,5.31,3.38,5.56,1.02,1.17,3.97,9.59
south-africa-namibia-UNIhCw9E,28 Jun 2019,1.66,3.67,5.41,2.15,1.67,1.07,1.38,2.25,4.01,8.06,7.74,2.88,1.63,1.22,1.07,5.97,2.84,1.13,1.01,4.64,3.35,6.24,18.00,1.35,2.18,14.08,51.00
