HomeTeam_AwayTeam_Match_ID,Date,HomeTeamWinOdd,HomeTeamDrawOdd,HomeTeamLoseOdd,BtsYes,BtsNo,Over_05,Over_15,Over_25,Over_35,Over_45,Under_05,Under_15,Under_25,Under_35,Under_45,HandiCap_min2_W,HandiCap_min1_W,HandiCap_plus1_W,HandiCap_plus2_W,HandiCap_min2_D,HandiCap_min1_D,HandiCap_plus1_D,HandiCap_plus2_D,HandiCap_min2_L,HandiCap_min1_L,HandiCap_plus1_L,HandiCap_plus2_L
ukraine-poland-p2TEMqeN,21 Jun 2016,4.51,3.18,2.02,2.12,1.65,1.11,1.49,2.51,4.87,10.44,6.60,2.59,1.52,1.18,1.05,33.91,10.53,1.77,1.21,12.70,5.58,3.46,5.65,1.03,1.17,3.69,8.57
russia-wales-OEJjSmRo,20 Jun 2016,2.62,3.04,3.14,2.08,1.70,1.11,1.53,2.70,5.27,11.66,6.36,2.50,1.48,1.16,1.03,13.83,5.34,1.33,1.07,7.18,3.83,4.44,8.90,1.12,1.48,6.89,19.46
slovakia-england-MaxfR7th,20 Jun 2016,5.77,3.18,1.85,2.25,1.61,1.12,1.51,2.61,5.13,10.87,6.23,2.55,1.51,1.16,1.04,49.33,13.96,1.92,1.24,15.98,6.37,3.26,5.25,1.01,1.13,3.33,7.79
romania-albania-G8dPBSt5,19 Jun 2016,2.08,3.46,3.86,2.02,1.74,1.08,1.43,2.36,4.45,9.31,7.64,2.80,1.61,1.20,1.06,8.65,3.69,1.22,1.05,5.73,3.55,5.20,10.60,1.20,1.74,8.31,24.67
switzerland-france-UB0TAndB,19 Jun 2016,5.89,2.90,1.94,2.21,1.62,1.13,1.52,2.69,5.14,11.08,5.82,2.51,1.48,1.16,1.04,55.28,14.92,1.85,1.23,17.09,6.59,3.36,5.44,1.01,1.12,3.47,7.99
portugal-austria-82yRLORQ,18 Jun 2016,1.75,3.67,5.35,1.96,1.78,1.06,1.35,2.13,3.79,7.84,9.32,3.14,1.74,1.26,1.08,6.14,2.96,1.14,1.02,4.98,3.44,6.34,14.10,1.31,2.03,11.51,37.09
iceland-hungary-UBxNM4CK,18 Jun 2016,2.66,2.99,3.13,2.16,1.66,1.12,1.56,2.84,5.50,12.20,6.05,2.39,1.44,1.15,1.03,15.21,5.57,1.33,1.07,7.51,3.87,4.32,8.87,1.10,1.45,6.74,19.38
belgium-ireland-CG5QHf9e,18 Jun 2016,1.90,3.32,4.99,2.15,1.66,1.09,1.45,2.46,4.69,9.73,7.16,2.71,1.56,1.19,1.06,7.79,3.40,1.16,1.02,5.37,3.40,5.89,13.27,1.24,1.87,11.12,37.00
spain-turkey-lzdyvoQc,17 Jun 2016,1.48,4.12,8.76,2.43,1.53,1.09,1.40,2.33,4.28,8.87,7.63,2.87,1.63,1.21,1.06,,,,,,,,,,,,
czech-republic-croatia-AqcXvRAi,17 Jun 2016,4.49,3.11,2.06,2.29,1.58,1.11,1.54,2.78,5.51,11.99,6.29,2.45,1.46,1.15,1.03,37.40,11.07,1.74,1.19,12.86,5.44,3.41,5.85,1.02,1.17,3.85,9.54
italy-sweden-YP6MIzfk,17 Jun 2016,2.04,3.04,4.73,2.26,1.59,1.12,1.55,2.80,5.58,12.30,6.28,2.45,1.45,1.14,1.03,9.42,3.92,1.17,1.02,5.77,3.40,5.71,13.40,1.19,1.77,11.32,38.22
germany-poland-juUANPuH,16 Jun 2016,1.62,4.00,6.19,1.80,1.92,1.06,1.27,1.90,3.23,6.03,10.11,3.74,1.94,1.34,1.12,4.97,2.58,1.12,1.02,4.67,3.50,7.22,15.53,1.40,2.23,12.46,39.53
ukraine-northern-ireland-ClV6O5QA,16 Jun 2016,1.78,3.34,6.01,2.44,1.52,1.11,1.53,2.72,5.32,10.95,6.46,2.48,1.47,1.15,1.04,7.02,3.14,1.12,1.01,4.96,3.21,6.75,16.74,1.27,2.03,14.80,55.26
england-wales-M9u834lo,16 Jun 2016,1.68,3.70,6.05,2.15,1.66,1.08,1.39,2.27,4.16,8.61,7.73,2.92,1.65,1.23,1.07,5.69,2.75,1.11,1.01,4.71,3.29,6.93,16.73,1.36,2.19,13.98,49.42
france-albania-MocLC8Rb,15 Jun 2016,1.25,5.92,15.86,2.44,1.50,1.04,1.24,1.77,2.93,5.43,12.03,4.05,2.09,1.40,1.14,2.88,1.70,1.03,,3.82,3.65,12.43,,1.93,3.58,28.24,
romania-switzerland-rebHDlCh,15 Jun 2016,3.53,3.03,2.39,2.06,1.72,1.11,1.48,2.60,4.99,10.58,6.50,2.62,1.51,1.18,1.05,23.99,8.13,1.56,1.13,10.14,4.71,3.68,6.61,1.05,1.25,4.63,11.94
russia-slovakia-K0gt8ptU,15 Jun 2016,2.42,3.13,3.36,2.04,1.73,1.10,1.50,2.58,4.97,10.38,6.76,2.58,1.52,1.17,1.05,11.91,4.81,1.27,1.06,6.68,3.77,4.64,9.41,1.13,1.53,7.38,21.36
portugal-iceland-0xYINpcE,14 Jun 2016,1.43,4.48,9.10,2.28,1.58,1.06,1.33,2.10,3.71,7.20,9.52,3.26,1.77,1.27,1.09,4.06,2.19,1.06,-,4.16,3.30,9.03,-,1.57,2.71,20.28,-
austria-hungary-MoZEOQs8,14 Jun 2016,1.68,3.63,6.22,2.11,1.67,1.08,1.39,2.26,4.07,8.28,7.84,2.96,1.66,1.23,1.07,5.78,2.81,1.12,1.01,4.76,3.33,6.88,16.43,1.34,2.15,13.66,47.24
belgium-italy-GlCHJGvq,13 Jun 2016,2.72,2.98,3.05,1.99,1.77,1.11,1.50,2.57,4.99,9.92,6.51,2.59,1.52,1.17,1.05,15.11,5.72,1.34,1.08,7.81,3.95,4.31,8.46,1.10,1.43,6.50,17.77
ireland-sweden-vPllyqAG,13 Jun 2016,3.70,3.02,2.32,2.19,1.63,1.12,1.54,2.77,5.42,11.93,6.10,2.46,1.46,1.15,1.03,25.72,8.52,1.57,1.14,10.47,4.80,3.64,6.62,1.05,1.25,4.61,11.62
spain-czech-republic-rw9kGsYj,13 Jun 2016,1.44,4.46,8.78,2.14,1.66,1.05,1.31,2.02,3.55,6.86,10.34,3.39,1.83,1.29,1.10,3.99,2.20,1.07,-,4.16,3.32,9.18,-,1.57,2.71,19.45,-
germany-ukraine-fDz2PoB4,12 Jun 2016,1.53,4.23,7.13,1.97,1.77,1.05,1.29,1.94,3.35,6.38,9.92,3.55,1.91,1.32,1.11,4.58,2.33,1.10,1.01,4.45,3.42,7.76,16.67,1.47,2.48,15.23,59.49
poland-northern-ireland-GMybQReb,12 Jun 2016,1.79,3.35,5.84,2.23,1.61,1.10,1.46,2.51,4.76,9.98,6.90,2.69,1.55,1.19,1.05,6.88,3.10,1.13,1.01,5.02,3.33,6.45,15.57,1.28,1.99,13.46,46.44
turkey-croatia-4nAoHNIp,12 Jun 2016,4.17,3.31,2.04,1.95,1.80,1.08,1.41,2.32,4.29,8.96,7.95,2.85,1.63,1.21,1.06,28.07,9.28,1.74,1.21,11.60,5.35,3.54,5.80,1.04,1.20,3.72,8.36
england-russia-jRlx9QQN,11 Jun 2016,1.78,3.49,5.53,2.02,1.74,1.08,1.37,2.29,4.12,8.69,7.78,3.05,1.65,1.23,1.07,6.56,3.04,1.14,1.02,5.05,3.39,6.32,14.75,1.29,2.00,12.01,40.28
wales-slovakia-CzjY96BH,11 Jun 2016,3.06,2.97,2.72,2.12,1.68,1.12,1.55,2.75,5.36,11.62,6.16,2.45,1.47,1.15,1.04,18.75,6.60,1.44,1.10,8.52,4.26,4.01,7.57,1.08,1.34,5.60,14.85
albania-switzerland-2qsKEUdn,11 Jun 2016,5.10,3.20,1.92,2.24,1.60,1.12,1.52,2.66,5.17,11.07,6.22,2.52,1.50,1.16,1.04,42.67,12.19,1.86,1.23,14.48,5.89,3.32,5.43,1.02,1.15,3.48,8.05
france-romania-OhrGFAst,10 Jun 2016,1.37,4.77,11.00,2.39,1.52,1.06,1.33,2.05,3.60,7.03,9.31,3.30,1.81,1.29,1.10,3.69,2.02,1.04,,4.00,3.27,11.45,,1.65,3.05,28.19,
denmark-sweden-ADvjsXDr,17 Nov 2015,2.12,3.42,3.68,1.83,1.90,1.07,1.36,2.15,3.82,7.54,8.31,3.08,1.72,1.25,1.08,8.42,3.74,1.23,1.05,5.79,3.64,5.22,10.55,1.21,1.72,8.22,22.74
slovenia-ukraine-YmHMbaqG,17 Nov 2015,3.16,3.21,2.44,2.02,1.74,1.10,1.46,2.46,4.66,9.97,6.89,2.67,1.55,1.18,1.05,18.38,6.55,1.50,1.12,8.64,4.39,3.86,7.03,1.08,1.33,5.02,12.66
ireland-bosnia-herzegovina-IwvftiTl,16 Nov 2015,2.49,3.04,3.26,2.06,1.72,1.10,1.50,2.63,5.07,11.29,6.47,2.55,1.50,1.17,1.04,13.04,4.94,1.31,1.07,7.01,3.81,4.50,9.04,1.12,1.51,7.01,19.90
hungary-norway-dUxbuBre,15 Nov 2015,3.38,3.19,2.35,2.07,1.71,1.10,1.51,2.62,5.06,11.00,6.74,2.53,1.51,1.16,1.04,22.16,7.55,1.57,1.13,9.80,4.62,3.69,6.63,1.06,1.27,4.68,11.57
sweden-denmark-raO911ac,14 Nov 2015,2.49,3.07,3.26,2.08,1.69,1.11,1.50,2.57,5.03,10.50,6.48,2.56,1.52,1.17,1.04,13.09,5.06,1.31,1.07,7.05,3.82,4.51,9.02,1.12,1.51,6.97,19.65
ukraine-slovenia-48P52spi,14 Nov 2015,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
bosnia-herzegovina-ireland-xMND0LE3,13 Nov 2015,2.11,3.05,4.25,2.11,1.68,1.11,1.49,2.57,4.93,10.25,6.42,2.58,1.51,1.17,1.04,9.57,3.89,1.20,1.03,6.02,3.52,5.35,11.86,1.17,1.70,9.65,30.06
norway-hungary-jPRHauU9,12 Nov 2015,1.73,3.43,5.96,2.45,1.52,1.11,1.53,2.67,5.52,13.50,6.47,2.53,1.48,1.15,1.05,6.74,2.93,1.12,1.01,4.86,3.23,6.81,16.34,1.30,2.09,15.34,52.67
belgium-israel-jsXoKOsf,13 Oct 2015,1.32,5.41,10.74,2.08,1.70,1.03,1.19,1.63,2.53,4.51,14.33,4.47,2.29,1.50,1.19,2.80,1.74,1.05,,4.02,3.68,11.15,,1.94,3.39,21.13,
bulgaria-azerbaijan-zLTRYIXQ,13 Oct 2015,1.68,3.58,5.98,2.27,1.59,1.09,1.44,2.47,4.68,9.69,7.23,2.70,1.55,1.18,1.05,6.14,2.88,1.12,1.01,4.82,3.28,6.85,18.00,1.32,2.12,14.04,41.00
cyprus-bosnia-herzegovina-4S5SW1Ra,13 Oct 2015,4.24,3.65,1.88,1.78,1.96,1.05,1.32,1.99,3.39,6.53,9.63,3.32,1.85,1.31,1.11,26.95,9.19,1.87,1.27,12.18,5.75,3.59,5.38,1.04,1.19,3.19,6.72
italy-norway-f5AbTdel,13 Oct 2015,1.89,3.46,4.51,2.09,1.69,1.09,1.42,2.35,4.43,9.46,7.26,2.78,1.60,1.20,1.05,7.64,3.41,1.17,1.02,5.43,3.44,5.65,12.38,1.23,1.84,10.13,31.91
latvia-kazakhstan-bm8865Df,13 Oct 2015,2.27,3.22,3.48,2.05,1.71,1.09,1.45,2.49,4.59,9.90,6.93,2.66,1.54,1.18,1.04,10.19,4.31,1.25,1.05,6.26,3.64,4.93,10.14,1.16,1.61,7.85,23.28
malta-croatia-IJoCrT0h,13 Oct 2015,32.98,10.45,1.09,3.50,1.29,1.02,1.18,1.59,2.49,4.22,15.78,4.58,2.34,1.51,1.19,,,6.10,2.71,,,4.21,3.77,,,1.36,2.05
netherlands-czech-republic-xxGqoboH,13 Oct 2015,1.55,4.24,6.36,1.84,1.88,1.04,1.25,1.83,2.99,5.67,11.82,3.84,2.02,1.37,1.13,4.52,2.38,1.11,1.01,4.51,3.51,7.58,18.00,1.47,2.39,13.29,39.00
turkey-iceland-bRWXgSTl,13 Oct 2015,1.55,3.92,7.19,2.18,1.64,1.07,1.35,2.15,3.81,7.77,8.31,3.13,1.72,1.25,1.07,4.97,2.50,1.10,-,4.47,3.34,7.75,-,1.42,2.34,16.41,-
wales-andorra-hn73YE24,13 Oct 2015,1.04,17.93,54.26,3.78,1.24,1.02,1.08,1.31,1.88,2.73,17.67,7.48,3.27,1.90,1.41,1.49,1.16,,,4.55,6.70,,,4.30,10.00,,
belarus-north-macedonia-MsmrpC1G,12 Oct 2015,1.86,3.46,4.72,2.06,1.70,1.08,1.40,2.33,4.26,8.97,7.64,2.87,1.62,1.21,1.06,7.16,3.30,1.16,1.02,5.24,3.41,5.94,13.11,1.26,1.90,10.93,35.05
estonia-switzerland-pd0ILjyk,12 Oct 2015,4.95,3.46,1.82,2.00,1.74,1.07,1.35,2.15,3.79,8.09,8.14,3.10,1.72,1.25,1.08,34.00,11.60,1.92,1.27,15.00,6.14,3.46,5.27,1.02,1.15,3.20,6.71
lithuania-england-GMeEMWLr,12 Oct 2015,9.44,4.61,1.40,2.26,1.59,1.06,1.33,2.04,3.58,7.09,9.16,3.25,1.80,1.28,1.09,,19.70,2.74,1.54,,8.64,3.17,4.24,,1.07,2.23,4.17
luxembourg-slovakia-S2Gw46hk,12 Oct 2015,12.20,5.29,1.31,2.48,1.50,1.06,1.28,1.95,3.26,6.27,9.54,3.54,1.87,1.31,1.10,,25.93,3.20,1.72,,10.42,3.38,3.95,,1.04,1.89,3.32
